,ParentClass,ParentName,ParentCategory,Collection,ChildClass,ChildName,ChildCategory
169,System,System,-,Fuels,Fuel,RTPV,-
170,System,System,-,Fuels,Fuel,SynchCond,-
171,System,System,-,Fuels,Fuel,Wind,-
172,System,System,-,Emissions,Emission,CO2,-
173,System,System,-,Emissions,Emission,NOX,-
174,System,System,-,Reserves,Reserve,Spin Up,-
175,System,System,-,Regions,Region,1,-
176,System,System,-,Regions,Region,2,-
177,System,System,-,Regions,Region,3,-
178,System,System,-,Zones,Zone,11,-
179,System,System,-,Zones,Zone,12,-
180,System,System,-,Zones,Zone,21,-
181,System,System,-,Zones,Zone,22,-
182,System,System,-,Zones,Zone,31,-
183,System,System,-,Zones,Zone,32,-
184,System,System,-,Nodes,Node,101,1
185,System,System,-,Nodes,Node,102,1
186,System,System,-,Nodes,Node,103,1
187,System,System,-,Nodes,Node,104,1
188,System,System,-,Nodes,Node,105,1
189,System,System,-,Nodes,Node,106,1
190,System,System,-,Nodes,Node,107,1
191,System,System,-,Nodes,Node,108,1
192,System,System,-,Nodes,Node,109,1
193,System,System,-,Nodes,Node,110,1
194,System,System,-,Nodes,Node,111,1
195,System,System,-,Nodes,Node,112,1
196,System,System,-,Nodes,Node,113,1
197,System,System,-,Nodes,Node,114,1
198,System,System,-,Nodes,Node,115,1
199,System,System,-,Nodes,Node,116,1
200,System,System,-,Nodes,Node,117,1
201,System,System,-,Nodes,Node,118,1
202,System,System,-,Nodes,Node,119,1
203,System,System,-,Nodes,Node,120,1
204,System,System,-,Nodes,Node,121,1
205,System,System,-,Nodes,Node,122,1
206,System,System,-,Nodes,Node,123,1
207,System,System,-,Nodes,Node,124,1
208,System,System,-,Nodes,Node,201,2
209,System,System,-,Nodes,Node,202,2
210,System,System,-,Nodes,Node,203,2
211,System,System,-,Nodes,Node,204,2
212,System,System,-,Nodes,Node,205,2
213,System,System,-,Nodes,Node,206,2
214,System,System,-,Nodes,Node,207,2
215,System,System,-,Nodes,Node,208,2
216,System,System,-,Nodes,Node,209,2
217,System,System,-,Nodes,Node,210,2
218,System,System,-,Nodes,Node,211,2
219,System,System,-,Nodes,Node,212,2
220,System,System,-,Nodes,Node,213,2
221,System,System,-,Nodes,Node,214,2
222,System,System,-,Nodes,Node,215,2
223,System,System,-,Nodes,Node,216,2
224,System,System,-,Nodes,Node,217,2
225,System,System,-,Nodes,Node,218,2
226,System,System,-,Nodes,Node,219,2
227,System,System,-,Nodes,Node,220,2
228,System,System,-,Nodes,Node,221,2
229,System,System,-,Nodes,Node,222,2
230,System,System,-,Nodes,Node,223,2
231,System,System,-,Nodes,Node,224,2
232,System,System,-,Nodes,Node,301,3
233,System,System,-,Nodes,Node,302,3
234,System,System,-,Nodes,Node,303,3
235,System,System,-,Nodes,Node,304,3
236,System,System,-,Nodes,Node,305,3
237,System,System,-,Nodes,Node,306,3
238,System,System,-,Nodes,Node,307,3
239,System,System,-,Nodes,Node,308,3
240,System,System,-,Nodes,Node,309,3
241,System,System,-,Nodes,Node,310,3
242,System,System,-,Nodes,Node,311,3
243,System,System,-,Nodes,Node,312,3
244,System,System,-,Nodes,Node,313,3
245,System,System,-,Nodes,Node,314,3
246,System,System,-,Nodes,Node,315,3
247,System,System,-,Nodes,Node,316,3
248,System,System,-,Nodes,Node,317,3
249,System,System,-,Nodes,Node,318,3
250,System,System,-,Nodes,Node,319,3
251,System,System,-,Nodes,Node,320,3
252,System,System,-,Nodes,Node,321,3
253,System,System,-,Nodes,Node,322,3
254,System,System,-,Nodes,Node,323,3
255,System,System,-,Nodes,Node,324,3
256,System,System,-,Nodes,Node,325,3
257,System,System,-,Nodes,Node,326,3
258,System,System,-,Nodes,Node,327,3
259,System,System,-,Lines,Line,101_102_1,AC_1
260,System,System,-,Lines,Line,101_103_1,AC_1
261,System,System,-,Lines,Line,101_105_1,AC_1
262,System,System,-,Lines,Line,102_104_1,AC_1
263,System,System,-,Lines,Line,102_106_1,AC_1
264,System,System,-,Lines,Line,103_109_1,AC_1
265,System,System,-,Lines,Line,103_124_1,AC_1
266,System,System,-,Lines,Line,104_109_1,AC_1
267,System,System,-,Lines,Line,105_110_1,AC_1
268,System,System,-,Lines,Line,106_110_1,AC_1
269,System,System,-,Lines,Line,107_108_1,AC_1
270,System,System,-,Lines,Line,108_109_1,AC_1
271,System,System,-,Lines,Line,108_110_1,AC_1
272,System,System,-,Lines,Line,109_111_1,AC_1
273,System,System,-,Lines,Line,109_112_1,AC_1
274,System,System,-,Lines,Line,110_111_1,AC_1
275,System,System,-,Lines,Line,110_112_1,AC_1
276,System,System,-,Lines,Line,111_113_1,AC_1
277,System,System,-,Lines,Line,111_114_1,AC_1
278,System,System,-,Lines,Line,112_113_1,AC_1
279,System,System,-,Lines,Line,112_123_1,AC_1
280,System,System,-,Lines,Line,113_123_1,AC_1
281,System,System,-,Lines,Line,114_116_1,AC_1
282,System,System,-,Lines,Line,115_116_1,AC_1
283,System,System,-,Lines,Line,115_121_1,AC_1
284,System,System,-,Lines,Line,115_121_2,AC_1
285,System,System,-,Lines,Line,115_124_1,AC_1
286,System,System,-,Lines,Line,116_117_1,AC_1
287,System,System,-,Lines,Line,116_119_1,AC_1
288,System,System,-,Lines,Line,117_118_1,AC_1
289,System,System,-,Lines,Line,117_122_1,AC_1
290,System,System,-,Lines,Line,118_121_1,AC_1
291,System,System,-,Lines,Line,118_121_2,AC_1
292,System,System,-,Lines,Line,119_120_1,AC_1
293,System,System,-,Lines,Line,119_120_2,AC_1
294,System,System,-,Lines,Line,120_123_1,AC_1
295,System,System,-,Lines,Line,120_123_2,AC_1
296,System,System,-,Lines,Line,121_122_1,AC_1
297,System,System,-,Lines,Line,201_202_1,AC_2
298,System,System,-,Lines,Line,201_203_1,AC_2
299,System,System,-,Lines,Line,201_205_1,AC_2
300,System,System,-,Lines,Line,202_204_1,AC_2
301,System,System,-,Lines,Line,202_206_1,AC_2
302,System,System,-,Lines,Line,203_209_1,AC_2
303,System,System,-,Lines,Line,203_224_1,AC_2
304,System,System,-,Lines,Line,204_209_1,AC_2
305,System,System,-,Lines,Line,205_210_1,AC_2
306,System,System,-,Lines,Line,206_210_1,AC_2
307,System,System,-,Lines,Line,207_208_1,AC_2
308,System,System,-,Lines,Line,208_209_1,AC_2
309,System,System,-,Lines,Line,208_210_1,AC_2
310,System,System,-,Lines,Line,209_211_1,AC_2
311,System,System,-,Lines,Line,209_212_1,AC_2
312,System,System,-,Lines,Line,210_211_1,AC_2
313,System,System,-,Lines,Line,210_212_1,AC_2
314,System,System,-,Lines,Line,211_213_1,AC_2
315,System,System,-,Lines,Line,211_214_1,AC_2
316,System,System,-,Lines,Line,212_213_1,AC_2
317,System,System,-,Lines,Line,212_223_1,AC_2
318,System,System,-,Lines,Line,213_223_1,AC_2
319,System,System,-,Lines,Line,214_216_1,AC_2
320,System,System,-,Lines,Line,215_216_1,AC_2
321,System,System,-,Lines,Line,215_221_1,AC_2
322,System,System,-,Lines,Line,215_221_2,AC_2
323,System,System,-,Lines,Line,215_224_1,AC_2
324,System,System,-,Lines,Line,216_217_1,AC_2
325,System,System,-,Lines,Line,216_219_1,AC_2
326,System,System,-,Lines,Line,217_218_1,AC_2
327,System,System,-,Lines,Line,217_222_1,AC_2
328,System,System,-,Lines,Line,218_221_1,AC_2
329,System,System,-,Lines,Line,218_221_2,AC_2
330,System,System,-,Lines,Line,219_220_1,AC_2
331,System,System,-,Lines,Line,219_220_2,AC_2
332,System,System,-,Lines,Line,220_223_1,AC_2
333,System,System,-,Lines,Line,220_223_2,AC_2
334,System,System,-,Lines,Line,221_222_1,AC_2
335,System,System,-,Lines,Line,301_302_1,AC_3
336,System,System,-,Lines,Line,301_303_1,AC_3
337,System,System,-,Lines,Line,301_305_1,AC_3
338,System,System,-,Lines,Line,302_304_1,AC_3
339,System,System,-,Lines,Line,302_306_1,AC_3
340,System,System,-,Lines,Line,303_309_1,AC_3
341,System,System,-,Lines,Line,303_324_1,AC_3
342,System,System,-,Lines,Line,304_309_1,AC_3
343,System,System,-,Lines,Line,305_310_1,AC_3
344,System,System,-,Lines,Line,306_310_1,AC_3
345,System,System,-,Lines,Line,307_308_1,AC_3
346,System,System,-,Lines,Line,308_309_1,AC_3
347,System,System,-,Lines,Line,308_310_1,AC_3
348,System,System,-,Lines,Line,309_311_1,AC_3
349,System,System,-,Lines,Line,309_312_1,AC_3
350,System,System,-,Lines,Line,310_311_1,AC_3
351,System,System,-,Lines,Line,310_312_1,AC_3
352,System,System,-,Lines,Line,311_313_1,AC_3
353,System,System,-,Lines,Line,311_314_1,AC_3
354,System,System,-,Lines,Line,312_313_1,AC_3
355,System,System,-,Lines,Line,312_323_1,AC_3
356,System,System,-,Lines,Line,313_323_1,AC_3
357,System,System,-,Lines,Line,313_326_1,AC_3
358,System,System,-,Lines,Line,314_316_1,AC_3
359,System,System,-,Lines,Line,315_316_1,AC_3
360,System,System,-,Lines,Line,315_321_1,AC_3
361,System,System,-,Lines,Line,315_321_2,AC_3
362,System,System,-,Lines,Line,315_324_1,AC_3
363,System,System,-,Lines,Line,315_327_1,AC_3
364,System,System,-,Lines,Line,316_317_1,AC_3
365,System,System,-,Lines,Line,316_319_1,AC_3
366,System,System,-,Lines,Line,317_318_1,AC_3
367,System,System,-,Lines,Line,317_322_1,AC_3
368,System,System,-,Lines,Line,318_321_1,AC_3
369,System,System,-,Lines,Line,318_321_2,AC_3
370,System,System,-,Lines,Line,319_320_1,AC_3
371,System,System,-,Lines,Line,319_320_2,AC_3
372,System,System,-,Lines,Line,320_323_1,AC_3
373,System,System,-,Lines,Line,320_323_2,AC_3
374,System,System,-,Lines,Line,321_322_1,AC_3
375,System,System,-,Lines,Line,323_325_1,AC_3
376,System,System,-,Lines,Line,107_203_1,Interstate_AC
377,System,System,-,Lines,Line,113_215_1,Interstate_AC
378,System,System,-,Lines,Line,123_217_1,Interstate_AC
379,System,System,-,Lines,Line,318_223_1,Interstate_AC
380,System,System,-,Lines,Line,325_121_1,Interstate_AC
381,System,System,-,Lines,Line,113_316_1,Interstate_DC
382,System,System,-,Constraints,Constraint,Min Region 3 Gen,-
383,System,System,-,Lists,List,timeslice,-
384,System,System,-,Variables,Variable,CapAndTrade,-
385,System,System,-,Variables,Variable,X,-
386,System,System,-,Variables,Variable,Y,-
387,Generator,101_3,Coal/Steam,Fuels,Fuel,Coal/Steam,-
388,Generator,101_4,Coal/Steam,Fuels,Fuel,Coal/Steam,-
389,Generator,101_5,Coal/Steam,Fuels,Fuel,Coal/Steam,-
390,Generator,102_3,Coal/Steam,Fuels,Fuel,Coal/Steam,-
391,Generator,102_4,Coal/Steam,Fuels,Fuel,Coal/Steam,-
392,Generator,115_3,Coal/Steam,Fuels,Fuel,Coal/Steam,-
393,Generator,116_1,Coal/Steam,Fuels,Fuel,Coal/Steam,-
394,Generator,123_2,Coal/Steam,Fuels,Fuel,Coal/Steam,-
395,Generator,123_3,Coal/Steam,Fuels,Fuel,Coal/Steam,-
396,Generator,201_3,Coal/Steam,Fuels,Fuel,Coal/Steam,-
397,Generator,202_3,Coal/Steam,Fuels,Fuel,Coal/Steam,-
398,Generator,202_4,Coal/Steam,Fuels,Fuel,Coal/Steam,-
399,Generator,216_1,Coal/Steam,Fuels,Fuel,Coal/Steam,-
400,Generator,223_1,Coal/Steam,Fuels,Fuel,Coal/Steam,-
401,Generator,223_2,Coal/Steam,Fuels,Fuel,Coal/Steam,-
402,Generator,223_3,Coal/Steam,Fuels,Fuel,Coal/Steam,-
403,Generator,316_1,Coal/Steam,Fuels,Fuel,Coal/Steam,-
404,Generator,316_2,Coal/Steam,Fuels,Fuel,Coal/Steam,-
405,Generator,316_3,Coal/Steam,Fuels,Fuel,Coal/Steam,-
406,Generator,316_4,Coal/Steam,Fuels,Fuel,Coal/Steam,-
407,Generator,122_1,Hydro,Fuels,Fuel,Hydro,-
408,Generator,122_2,Hydro,Fuels,Fuel,Hydro,-
409,Generator,122_3,Hydro,Fuels,Fuel,Hydro,-
410,Generator,122_4,Hydro,Fuels,Fuel,Hydro,-
411,Generator,122_5,Hydro,Fuels,Fuel,Hydro,-
412,Generator,122_6,Hydro,Fuels,Fuel,Hydro,-
413,Generator,201_4,Hydro,Fuels,Fuel,Hydro,-
414,Generator,215_1,Hydro,Fuels,Fuel,Hydro,-
415,Generator,215_2,Hydro,Fuels,Fuel,Hydro,-
416,Generator,215_3,Hydro,Fuels,Fuel,Hydro,-
417,Generator,222_1,Hydro,Fuels,Fuel,Hydro,-
418,Generator,222_2,Hydro,Fuels,Fuel,Hydro,-
419,Generator,222_3,Hydro,Fuels,Fuel,Hydro,-
420,Generator,222_4,Hydro,Fuels,Fuel,Hydro,-
421,Generator,222_5,Hydro,Fuels,Fuel,Hydro,-
422,Generator,222_6,Hydro,Fuels,Fuel,Hydro,-
423,Generator,222_7,Hydro,Fuels,Fuel,Hydro,-
424,Generator,322_1,Hydro,Fuels,Fuel,Hydro,-
425,Generator,322_2,Hydro,Fuels,Fuel,Hydro,-
426,Generator,322_3,Hydro,Fuels,Fuel,Hydro,-
427,Generator,322_4,Hydro,Fuels,Fuel,Hydro,-
428,Generator,107_1,NG/CC,Fuels,Fuel,NG/CC,-
429,Generator,118_1,NG/CC,Fuels,Fuel,NG/CC,-
430,Generator,118_2,NG/CC,Fuels,Fuel,NG/CC,-
431,Generator,213_3,NG/CC,Fuels,Fuel,NG/CC,-
432,Generator,218_1,NG/CC,Fuels,Fuel,NG/CC,-
433,Generator,221_1,NG/CC,Fuels,Fuel,NG/CC,-
434,Generator,313_1,NG/CC,Fuels,Fuel,NG/CC,-
435,Generator,318_1,NG/CC,Fuels,Fuel,NG/CC,-
436,Generator,321_1,NG/CC,Fuels,Fuel,NG/CC,-
437,Generator,323_1,NG/CC,Fuels,Fuel,NG/CC,-
438,Generator,323_2,NG/CC,Fuels,Fuel,NG/CC,-
439,Generator,113_1,NG/CT,Fuels,Fuel,NG/CT,-
440,Generator,113_2,NG/CT,Fuels,Fuel,NG/CT,-
441,Generator,113_3,NG/CT,Fuels,Fuel,NG/CT,-
442,Generator,113_4,NG/CT,Fuels,Fuel,NG/CT,-
443,Generator,113_5,NG/CT,Fuels,Fuel,NG/CT,-
444,Generator,123_1,NG/CT,Fuels,Fuel,NG/CT,-
445,Generator,123_4,NG/CT,Fuels,Fuel,NG/CT,-
446,Generator,123_5,NG/CT,Fuels,Fuel,NG/CT,-
447,Generator,207_1,NG/CT,Fuels,Fuel,NG/CT,-
448,Generator,207_2,NG/CT,Fuels,Fuel,NG/CT,-
449,Generator,213_1,NG/CT,Fuels,Fuel,NG/CT,-
450,Generator,213_2,NG/CT,Fuels,Fuel,NG/CT,-
451,Generator,215_4,NG/CT,Fuels,Fuel,NG/CT,-
452,Generator,215_5,NG/CT,Fuels,Fuel,NG/CT,-
453,Generator,223_4,NG/CT,Fuels,Fuel,NG/CT,-
454,Generator,223_5,NG/CT,Fuels,Fuel,NG/CT,-
455,Generator,223_6,NG/CT,Fuels,Fuel,NG/CT,-
456,Generator,301_3,NG/CT,Fuels,Fuel,NG/CT,-
457,Generator,301_4,NG/CT,Fuels,Fuel,NG/CT,-
458,Generator,302_3,NG/CT,Fuels,Fuel,NG/CT,-
459,Generator,302_4,NG/CT,Fuels,Fuel,NG/CT,-
460,Generator,307_1,NG/CT,Fuels,Fuel,NG/CT,-
461,Generator,307_2,NG/CT,Fuels,Fuel,NG/CT,-
462,Generator,315_6,NG/CT,Fuels,Fuel,NG/CT,-
463,Generator,315_7,NG/CT,Fuels,Fuel,NG/CT,-
464,Generator,315_8,NG/CT,Fuels,Fuel,NG/CT,-
465,Generator,322_5,NG/CT,Fuels,Fuel,NG/CT,-
466,Generator,322_6,NG/CT,Fuels,Fuel,NG/CT,-
467,Generator,121_1,Nuclear,Fuels,Fuel,Nuclear,-
468,Generator,101_1,Oil/CT,Fuels,Fuel,Oil/CT,-
469,Generator,101_2,Oil/CT,Fuels,Fuel,Oil/CT,-
470,Generator,102_1,Oil/CT,Fuels,Fuel,Oil/CT,-
471,Generator,102_2,Oil/CT,Fuels,Fuel,Oil/CT,-
472,Generator,201_1,Oil/CT,Fuels,Fuel,Oil/CT,-
473,Generator,201_2,Oil/CT,Fuels,Fuel,Oil/CT,-
474,Generator,202_1,Oil/CT,Fuels,Fuel,Oil/CT,-
475,Generator,202_2,Oil/CT,Fuels,Fuel,Oil/CT,-
476,Generator,301_1,Oil/CT,Fuels,Fuel,Oil/CT,-
477,Generator,301_2,Oil/CT,Fuels,Fuel,Oil/CT,-
478,Generator,302_1,Oil/CT,Fuels,Fuel,Oil/CT,-
479,Generator,302_2,Oil/CT,Fuels,Fuel,Oil/CT,-
480,Generator,115_1,Oil/Steam,Fuels,Fuel,Oil/Steam,-
481,Generator,115_2,Oil/Steam,Fuels,Fuel,Oil/Steam,-
482,Generator,315_1,Oil/Steam,Fuels,Fuel,Oil/Steam,-
483,Generator,315_2,Oil/Steam,Fuels,Fuel,Oil/Steam,-
484,Generator,315_3,Oil/Steam,Fuels,Fuel,Oil/Steam,-
485,Generator,315_4,Oil/Steam,Fuels,Fuel,Oil/Steam,-
486,Generator,315_5,Oil/Steam,Fuels,Fuel,Oil/Steam,-
487,Generator,101_pv,PV,Fuels,Fuel,PV,-
488,Generator,101_pv_2,PV,Fuels,Fuel,PV,-
489,Generator,101_pv_3,PV,Fuels,Fuel,PV,-
490,Generator,101_pv_4,PV,Fuels,Fuel,PV,-
491,Generator,102_pv,PV,Fuels,Fuel,PV,-
492,Generator,102_pv_2,PV,Fuels,Fuel,PV,-
493,Generator,103_pv,PV,Fuels,Fuel,PV,-
494,Generator,104_pv,PV,Fuels,Fuel,PV,-
495,Generator,113_pv,PV,Fuels,Fuel,PV,-
496,Generator,119_pv,PV,Fuels,Fuel,PV,-
497,Generator,215_pv,PV,Fuels,Fuel,PV,-
498,Generator,310_pv,PV,Fuels,Fuel,PV,-
499,Generator,310_pv_2,PV,Fuels,Fuel,PV,-
500,Generator,312_pv,PV,Fuels,Fuel,PV,-
501,Generator,313_pv,PV,Fuels,Fuel,PV,-
502,Generator,313_pv_2,PV,Fuels,Fuel,PV,-
503,Generator,314_pv,PV,Fuels,Fuel,PV,-
504,Generator,314_pv_2,PV,Fuels,Fuel,PV,-
505,Generator,314_pv_3,PV,Fuels,Fuel,PV,-
506,Generator,314_pv_4,PV,Fuels,Fuel,PV,-
507,Generator,319_pv,PV,Fuels,Fuel,PV,-
508,Generator,320_pv,PV,Fuels,Fuel,PV,-
509,Generator,324_pv,PV,Fuels,Fuel,PV,-
510,Generator,324_pv_2,PV,Fuels,Fuel,PV,-
511,Generator,324_pv_3,PV,Fuels,Fuel,PV,-
